nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov,throughput_simple,waste_rate_simple,SBR_simple
512,55,5350000,0.25,0.011837363,0.018181818,2.26303,24.1594,0.01408223,0.004099588,0.22547735,-0.42108,0.439261818,24.1594
32,120,5350000,0.08,0.008866112,0.008333333,2.26303,17.79957,0.00755973,0.000773603,0.092832384,-0.139996417,0.14832975,17.79957
512,80,5350000,0.26,0.010157898,0.0125,2.263,23.71283,0.010598121,0.001901879,0.152150319,-0.283910375,0.296410375,23.71283
32,160,5350000,0.06,0.005232454,0.00625,2.26305,17.20362,0.005829418,0.000420582,0.067293187,-0.101272625,0.107522625,17.20362
512,130,5350000,0.12,0.006307656,0.007692308,2.26299,23.36204,0.006982724,0.000709584,0.092245859,-0.172015692,0.179708,23.36204
1,55,5350000,0,0.018940309,0.018181818,NaN,0,0.018181818,0,0,0.018181818,0,0
128,130,5350000,0.14,0.00594029,0.007692308,2.26296,19.98331,0.007050967,0.000641341,0.083374278,-0.146025462,0.153717769,19.98331
8,120,5350000,0.08,0.008383202,0.008333333,2.26273,9.17739,0.007808114,0.000525219,0.063026272,-0.068144917,0.07647825,9.17739
32,150,5350000,0.12,0.005827801,0.006666667,2.26298,18.22072,0.006159846,0.000506821,0.076023089,-0.1148048,0.121471467,18.22072
128,180,5350000,0.07,0.004971568,0.005555556,2.263,19.93135,0.005221899,0.000333657,0.060058188,-0.105174167,0.110729722,19.93135
1,85,5350000,0,0.012255486,0.011764706,NaN,0,0.011764706,0,0,0.011764706,0,0
2096,145,5350000,0.17,0.006324218,0.006896552,2.26299,27.94345,0.006226807,0.000669744,0.097112937,-0.185816897,0.192713448,27.94345
512,5,5350000,0.83,0.035069751,0.2,2.263,28.35289,-0.382152532,0.582152532,2.910762659,-5.470578,5.670578,28.35289
8,130,5350000,0.1,0.00797929,0.007692308,2.26297,9.24232,0.007241618,0.00045069,0.058589707,-0.063402462,0.071094769,9.24232
2096,160,5350000,0.15,0.005640105,0.00625,2.263,27.91738,0.005700459,0.000549541,0.087926491,-0.168233625,0.174483625,27.91738
1,105,5350000,0,0.009921069,0.00952381,NaN,0,0.00952381,0,0,0.00952381,0,0
2096,115,5350000,0.21,0.007307679,0.008695652,2.263,27.96358,0.007630131,0.001065521,0.122534955,-0.234465913,0.243161565,27.96358
1,35,5350000,0,0.029763473,0.028571429,NaN,0,0.028571429,0,0,0.028571429,0,0
1,170,5350000,0,0.006127722,0.005882353,NaN,0,0.005882353,0,0,0.005882353,0,0
2096,40,5350000,0.4,0.014864928,0.025,2.26299,29.05638,0.01584862,0.00915138,0.366055201,-0.7014095,0.7264095,29.05638
512,65,5350000,0.3,0.011290335,0.015384615,2.26296,23.56485,0.012521641,0.002862974,0.186093322,-0.347151538,0.362536154,23.56485
8,115,5350000,0.1,0.008762757,0.008695652,2.26299,9.46965,0.008105557,0.000590095,0.067860924,-0.07364913,0.082344783,9.46965
8,195,5350000,0.04,0.004876861,0.005128205,2.26322,9.12816,0.004930373,0.000197833,0.038577343,-0.041682872,0.046811077,9.12816
2096,25,5350000,0.53,0.019349384,0.04,2.26299,29.56652,0.016161152,0.023838848,0.595971194,-1.1426608,1.1826608,29.56652
1,65,5350000,0,0.016026419,0.015384615,NaN,0,0.015384615,0,0,0.015384615,0,0
512,135,5350000,0.16,0.006386526,0.007407407,2.26301,23.20759,0.006753762,0.000653645,0.088242081,-0.164500667,0.171908074,23.20759
128,125,5350000,0.15,0.006632356,0.008,2.2631,19.29536,0.007330207,0.000669793,0.083724177,-0.14636288,0.15436288,19.29536
2096,15,5350000,0.67,0.023827626,0.066666667,2.26299,30.21532,-0.001005448,0.067672115,1.015081718,-1.947688,2.014354667,30.21532
128,15,5350000,0.6,0.032136785,0.066666667,2.26298,21.54568,0.01472861,0.051938057,0.779070856,-1.369712,1.436378667,21.54568
512,160,5350000,0.12,0.005801304,0.00625,2.26305,23.63749,0.005776041,0.000473959,0.075833455,-0.141484313,0.147734313,23.63749
1,60,5350000,0,0.017361943,0.016666667,NaN,0,0.016666667,0,0,0.016666667,0,0
128,45,5350000,0.31,0.015260598,0.022222222,2.26298,20.95729,0.016608924,0.005613298,0.252598415,-0.443495333,0.465717556,20.95729
32,90,5350000,0.24,0.009408239,0.011111111,2.26296,17.05692,0.009793198,0.001317913,0.118612194,-0.178410222,0.189521333,17.05692
1,145,5350000,0,0.007184241,0.006896552,NaN,0,0.006896552,0,0,0.006896552,0,0
2096,10,5350000,0.75,0.027608869,0.1,2.26298,30.99488,-0.056190648,0.156190648,1.561906478,-2.999488,3.099488,30.99488
128,165,5350000,0.17,0.00542595,0.006060606,2.263,19.3864,0.005674384,0.000386222,0.063726672,-0.111432727,0.117493333,19.3864
8,155,5350000,0.05,0.00624648,0.006451613,2.26287,9.29228,0.006132868,0.000318744,0.049405383,-0.053498581,0.059950194,9.29228
1,195,5350000,0,0.005342109,0.005128205,NaN,0,0.005128205,0,0,0.005128205,0,0
2096,25,5350000,0.51,0.019297371,0.04,2.26299,29.56652,0.016161152,0.023838848,0.595971194,-1.1426608,1.1826608,29.56652
128,5,5350000,0.79,0.042722959,0.2,2.26302,25.21447,-0.347038443,0.547038443,2.735192213,-4.842894,5.042894,25.21447
2096,125,5350000,0.1,0.006565068,0.008,2.26297,27.89192,0.007100454,0.000899546,0.112443269,-0.21513536,0.22313536,27.89192
8,95,5350000,0.05,0.01006553,0.010526316,2.263,9.25417,0.009681282,0.000845034,0.080278185,-0.086886,0.097412316,9.25417
1,160,5350000,0,0.006510671,0.00625,NaN,0,0.00625,0,0,0.00625,0,0
8,10,5350000,0.43,0.055525503,0.1,2.26276,11.00515,0.009305773,0.090694227,0.906942272,-1.000515,1.100515,11.00515
2096,45,5350000,0.37,0.013505908,0.022222222,2.263,29.01266,0.015002382,0.00721984,0.324892811,-0.622503556,0.644725778,29.01266
2096,60,5350000,0.29,0.010896686,0.016666667,2.26299,28.56218,0.012668564,0.003998102,0.239886147,-0.459369667,0.476036333,28.56218
1,190,5350000,0,0.005482698,0.005263158,NaN,0,0.005263158,0,0,0.005263158,0,0
1,30,5350000,0,0.034724212,0.033333333,NaN,0,0.033333333,0,0,0.033333333,0,0
512,110,5350000,0.18,0.006430595,0.009090909,2.26303,23.30085,0.008102434,0.000988475,0.108732293,-0.202735,0.211825909,23.30085
1,80,5350000,0,0.013021435,0.0125,NaN,0,0.0125,0,0,0.0125,0,0
8,150,5350000,0.1,0.007316713,0.006666667,2.26292,9.21904,0.006329001,0.000337666,0.050649845,-0.0547936,0.061460267,9.21904
128,135,5350000,0.12,0.007087847,0.007407407,2.26294,19.22446,0.006835278,0.00057213,0.077237533,-0.134996,0.142403407,19.22446
512,35,5350000,0.4,0.019802502,0.028571429,2.26302,24.9739,0.018106657,0.010464771,0.366266999,-0.684968571,0.71354,24.9739
1,65,5350000,0,0.016026419,0.015384615,NaN,0,0.015384615,0,0,0.015384615,0,0
8,125,5350000,0.08,0.007566364,0.008,2.26268,9.16632,0.007516542,0.000483458,0.060432238,-0.06533056,0.07333056,9.16632
