nodes,interval,blocksize,SBR,throughput
200,105000,5350000,0.17,8.246274436288116e-06
200,170000,5350000,0.11,5.375020752059287e-06
200,150000,5350000,0.12,5.884899718072109e-06
200,190000,5350000,0.09,5.168979808104036e-06
200,180000,5350000,0.09,5.12841648909667e-06
200,50000,5350000,0.28,1.4510289342908318e-05
200,290000,5350000,0.05,3.4854902131573104e-06
200,205000,5350000,0.08,4.802913101277492e-06
200,95000,5350000,0.18,8.114480942571593e-06
200,250000,5350000,0.09,4.003512682027211e-06
200,20000,5350000,0.49,2.5379112158869508e-05
200,80000,5350000,0.2,1.0671202639201837e-05
200,10000,5350000,0.66,3.40233148167113e-05
200,225000,5350000,0.07,4.115789280314321e-06
200,275000,5350000,0.07,3.5225783357134807e-06
200,160000,5350000,0.1,5.651394094372291e-06
200,125000,5350000,0.11,7.080466432806727e-06
200,70000,5350000,0.23,1.0817998608544004e-05
200,175000,5350000,0.1,5.2265502200569286e-06
200,260000,5350000,0.05,3.6172021110473813e-06
200,220000,5350000,0.09,4.242479720345919e-06
200,255000,5350000,0.09,3.625637856957492e-06
200,135000,5350000,0.13,5.8186037480613626e-06
200,200000,5350000,0.1,4.670748142844369e-06
200,25000,5350000,0.41,2.2879598856569168e-05
200,35000,5350000,0.36,1.743253812490238e-05
200,285000,5350000,0.08,3.1027910619180366e-06
200,15000,5350000,0.56,2.960167469984597e-05
200,115000,5350000,0.13,7.5400921781295505e-06
200,155000,5350000,0.13,5.597347111215686e-06
200,120000,5350000,0.15,7.250538728364629e-06
200,100000,5350000,0.16,8.507704889497109e-06
200,185000,5350000,0.09,5.728765742576651e-06
200,165000,5350000,0.09,4.85365187958478e-06
200,130000,5350000,0.12,6.856294655201872e-06
200,215000,5350000,0.09,4.312699338354293e-06
200,240000,5350000,0.08,3.686178699996341e-06
200,75000,5350000,0.21,1.0784806782611875e-05
200,65000,5350000,0.21,1.1764306818611839e-05
200,30000,5350000,0.42,2.1073853318956283e-05
200,195000,5350000,0.09,4.846631653199466e-06
200,5000,5350000,0.8,3.9758210977215185e-05
200,45000,5350000,0.25,1.5980350560950256e-05
200,235000,5350000,0.11,3.7964510977615516e-06
200,110000,5350000,0.16,7.740795239761844e-06
200,55000,5350000,0.25,1.3748257580204929e-05
200,280000,5350000,0.07,3.5812548953516134e-06
200,265000,5350000,0.06,3.7620694241005314e-06
200,145000,5350000,0.12,6.241064745617009e-06
200,90000,5350000,0.19,8.336740281194915e-06
200,140000,5350000,0.11,6.3838215259430075e-06
200,210000,5350000,0.08,4.09700500603482e-06
200,85000,5350000,0.19,8.768313792464067e-06
200,40000,5350000,0.31,1.760914529787102e-05
200,270000,5350000,0.07,3.209704674751906e-06
200,295000,5350000,0.07,3.3122666549544918e-06
200,60000,5350000,0.24,1.2350883156075516e-05
200,245000,5350000,0.08,3.449179269517408e-06
200,230000,5350000,0.09,4.1328287865741914e-06
