nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay
32,5.0,5350000,0.76,0.0504224720352243,0.2,2.26298
2096,160.0,5350000,0.16,0.005992783598949847,0.00625,2.26302
512,40.0,5350000,0.38,0.015683076392265106,0.025,2.263
128,60.0,5350000,0.29,0.011067813623439551,0.016666666666666666,2.26296
2096,140.0,5350000,0.22,0.00661795717824336,0.007142857142857143,2.26299
8,170.0,5350000,0.09,0.00610113869822322,0.0058823529411764705,2.26271
128,100.0,5350000,0.14,0.00885842221578904,0.01,2.26307
2096,50.0,5350000,0.41,0.012661407365306925,0.02,2.263
1,135.0,5350000,0.0,0.007716382806664485,0.007407407407407408,NaN
512,130.0,5350000,0.15,0.006814576133023797,0.007692307692307693,2.263
512,140.0,5350000,0.15,0.006573983146147929,0.007142857142857143,2.26304
8,150.0,5350000,0.05,0.0061437499877125,0.006666666666666667,2.26283
2096,150.0,5350000,0.18,0.00614255821087427,0.006666666666666667,2.26297
32,115.0,5350000,0.12,0.006908677644555444,0.008695652173913044,2.26291
1,105.0,5350000,0.0,0.009921068967402245,0.009523809523809525,NaN
512,195.0,5350000,0.11,0.004584590064982438,0.005128205128205128,2.26302
512,135.0,5350000,0.2,0.006469652381048809,0.007407407407407408,2.26298
1,140.0,5350000,0.0,0.00744080449382923,0.007142857142857143,NaN
512,65.0,5350000,0.28,0.012337145012671745,0.015384615384615385,2.26301
128,110.0,5350000,0.11,0.007540730312190005,0.00909090909090909,2.26291
128,20.0,5350000,0.51,0.026818351987890024,0.05,2.26299
8,45.0,5350000,0.15,0.01746298153516721,0.022222222222222223,2.26294
2096,5.0,5350000,0.86,0.031473273674715606,0.2,2.26299
1,85.0,5350000,0.0,0.012255486199035714,0.011764705882352941,NaN
2096,90.0,5350000,0.21,0.008995830522511121,0.011111111111111112,2.26299
1,30.0,5350000,0.0,0.0347242116301802,0.03333333333333333,NaN
8,85.0,5350000,0.1,0.009890755615155051,0.011764705882352941,2.26268
8,90.0,5350000,0.08,0.010999183420622852,0.011111111111111112,2.26276
1,25.0,5350000,0.0,0.041669166816675665,0.04,NaN
2096,95.0,5350000,0.24,0.008428000142601763,0.010526315789473684,2.26301
512,85.0,5350000,0.21,0.0092389694557822,0.011764705882352941,2.26302
1,90.0,5350000,0.0,0.011574601897355041,0.011111111111111112,NaN
512,155.0,5350000,0.15,0.005511240284785625,0.0064516129032258064,2.26301
1,110.0,5350000,0.0,0.009470113080726275,0.00909090909090909,NaN
1,5.0,5350000,0.0,0.2083628514039489,0.2,NaN
32,60.0,5350000,0.2,0.013382470195231503,0.016666666666666666,2.26304
1,80.0,5350000,0.0,0.013021435235613103,0.0125,NaN
2096,175.0,5350000,0.1,0.0052246445648179325,0.005714285714285714,2.26298
1,130.0,5350000,0.0,0.008013151183722726,0.007692307692307693,NaN
2096,165.0,5350000,0.12,0.005287853003185879,0.006060606060606061,2.263
8,175.0,5350000,0.05,0.006215958690727648,0.005714285714285714,2.26291
128,105.0,5350000,0.14,0.009269802662755497,0.009523809523809525,2.26299
8,50.0,5350000,0.14,0.01704120973502964,0.02,2.26279
1,35.0,5350000,0.0,0.029763472659125198,0.02857142857142857,NaN
8,55.0,5350000,0.12,0.017872749597416318,0.01818181818181818,2.26276
128,55.0,5350000,0.28,0.011264916818934625,0.01818181818181818,2.26301
512,10.0,5350000,0.71,0.03063743876065559,0.1,2.26298
128,175.0,5350000,0.14,0.004730497860301208,0.005714285714285714,2.26296
128,115.0,5350000,0.17,0.007430063045570955,0.008695652173913044,2.26296
512,30.0,5350000,0.52,0.01869956365140655,0.03333333333333333,2.26302
512,60.0,5350000,0.31,0.013490239811496382,0.016666666666666666,2.26297
32,110.0,5350000,0.14,0.008891914734621255,0.00909090909090909,2.26293
2096,40.0,5350000,0.4,0.014332230563739657,0.025,2.263
8,145.0,5350000,0.1,0.006633309961971234,0.006896551724137931,2.26303
2096,105.0,5350000,0.15,0.007834838471093952,0.009523809523809525,2.263
512,175.0,5350000,0.1,0.005742841089155081,0.005714285714285714,2.26303
512,165.0,5350000,0.12,0.005025074619845567,0.006060606060606061,2.263
2096,115.0,5350000,0.16,0.007755605965270862,0.008695652173913044,2.26297
2096,125.0,5350000,0.2,0.006323727948923502,0.008,2.263
2096,20.0,5350000,0.58,0.02037742314592481,0.05,2.26297
8,165.0,5350000,0.05,0.006194419026678372,0.006060606060606061,2.26281
128,90.0,5350000,0.13,0.009513116780548187,0.011111111111111112,2.26296
2096,70.0,5350000,0.3,0.010273944454946699,0.014285714285714285,2.26299
1,120.0,5350000,0.0,0.008680936853649995,0.008333333333333333,NaN
2096,155.0,5350000,0.15,0.005781550920691748,0.0064516129032258064,2.26299
128,150.0,5350000,0.11,0.005468857753587926,0.006666666666666667,2.26304
2096,35.0,5350000,0.45,0.016491284356217738,0.02857142857142857,2.26298
1,180.0,5350000,0.0,0.005787282862593816,0.005555555555555556,NaN
8,180.0,5350000,0.04,0.0060528976037970555,0.005555555555555556,2.26273
128,45.0,5350000,0.31,0.015955559094072362,0.022222222222222223,2.26295
32,165.0,5350000,0.03,0.0048410644648730905,0.006060606060606061,2.26297
