nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay
512,50.0,535000,0.05,0.017991565554068254,0.02,0.25598
1,60.0,535000,0.0,0.017361943037548327,0.016666666666666666,NaN
2096,150.0,535000,0.03,0.006146252789476829,0.006666666666666667,0.256
8,185.0,535000,0.0,0.005506667059475583,0.005405405405405406,0.25606
128,60.0,535000,0.04,0.016054871698295566,0.016666666666666666,0.25606
2096,95.0,535000,0.03,0.009351510175378223,0.010526315789473684,0.256
512,195.0,535000,0.02,0.006202900600378749,0.005128205128205128,0.25605
8,105.0,535000,0.03,0.010755156075598422,0.009523809523809525,0.25597
2096,155.0,535000,0.06,0.006485014493358892,0.0064516129032258064,0.25602
8,30.0,535000,0.04,0.0329962110450857,0.03333333333333333,0.256
32,5.0,535000,0.31,0.14647679368157704,0.2,0.25604
128,180.0,535000,0.01,0.0047507175008641555,0.005555555555555556,0.25611
1,65.0,535000,0.0,0.016026419231574867,0.015384615384615385,NaN
1,95.0,535000,0.0,0.010965425683856032,0.010526315789473684,NaN
1,15.0,535000,0.0,0.0694495084711038,0.06666666666666667,NaN
1,55.0,535000,0.0,0.0189403086702104,0.01818181818181818,NaN
128,25.0,535000,0.07,0.03331185828868989,0.04,0.25609
1,20.0,535000,0.0,0.05208672439611954,0.05,NaN
2096,85.0,535000,0.01,0.013337821955015261,0.011764705882352941,0.25598
512,115.0,535000,0.02,0.008987355958522633,0.008695652173913044,0.25594
2096,65.0,535000,0.03,0.014352175108018058,0.015384615384615385,0.256
2096,30.0,535000,0.1,0.0331139533921106,0.03333333333333333,NaN
32,60.0,535000,0.01,0.01479375508257948,0.016666666666666666,0.25594
512,85.0,535000,0.04,0.013578462603013005,0.011764705882352941,0.25597
8,130.0,535000,0.03,0.008640280746914253,0.007692307692307693,0.25602
2096,80.0,535000,0.04,0.010640371612850506,0.0125,NaN
1,5.0,535000,0.0,0.2083628514039489,0.2,NaN
512,175.0,535000,0.0,0.0069023820948895314,0.005714285714285714,0.25598
2096,60.0,535000,0.05,0.013928705641599362,0.016666666666666666,0.256
32,170.0,535000,0.01,0.005551865723908049,0.0058823529411764705,0.25596
1,140.0,535000,0.0,0.00744080449382923,0.007142857142857143,NaN
512,185.0,535000,0.02,0.0057126202406589804,0.005405405405405406,0.256
128,95.0,535000,0.04,0.009132862972624518,0.010526315789473684,0.25601
512,25.0,535000,0.15,0.03590461866243088,0.04,0.256
1,35.0,535000,0.0,0.029763472659125198,0.02857142857142857,NaN
128,70.0,535000,0.02,0.012052791709800594,0.014285714285714285,0.25602
2096,140.0,535000,0.0,0.007034630359720044,0.007142857142857143,0.25598
128,130.0,535000,0.01,0.00807099440381461,0.007692307692307693,0.25602
1,155.0,535000,0.0,0.006720697941792976,0.0064516129032258064,NaN
32,185.0,535000,0.0,0.005372399704818871,0.005405405405405406,0.256
128,195.0,535000,0.01,0.0054479836059277325,0.005128205128205128,0.25596
8,110.0,535000,0.01,0.009153912139469738,0.00909090909090909,0.25605
32,105.0,535000,0.02,0.009861918350219403,0.009523809523809525,0.25592
32,75.0,535000,0.01,0.013568671998792931,0.013333333333333334,0.25614
8,20.0,535000,0.05,0.05506704963964122,0.05,0.25579
512,130.0,535000,0.0,0.007529877802131076,0.007692307692307693,0.25601
1,75.0,535000,0.0,0.013889527421330063,0.013333333333333334,NaN
512,100.0,535000,0.06,0.010698544334660737,0.01,0.25604
8,60.0,535000,0.03,0.01921813700148633,0.016666666666666666,0.2562
8,150.0,535000,0.02,0.007029231622038778,0.006666666666666667,0.25567
2096,50.0,535000,0.08,0.019793459211816536,0.02,0.25598
128,40.0,535000,0.04,0.02091059799291716,0.025,0.25598
2096,115.0,535000,0.07,0.008323955703570286,0.008695652173913044,0.25596
2096,145.0,535000,0.04,0.006905438785736595,0.006896551724137931,0.25601
512,165.0,535000,0.03,0.00549963798632955,0.006060606060606061,0.256
512,180.0,535000,0.0,0.00568269609378858,0.005555555555555556,0.25599
1,80.0,535000,0.0,0.013021435235613103,0.0125,NaN
128,145.0,535000,0.02,0.005834967172766434,0.006896551724137931,0.25598
32,30.0,535000,0.08,0.027712476406290397,0.03333333333333333,0.2559
128,110.0,535000,0.01,0.008420021666399753,0.00909090909090909,0.25597
