nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay
8,60.0,26750000,0.4,0.010178543873799085,0.016666666666666666,11.17916
512,160.0,26750000,0.41,0.003465871614203017,0.00625,11.17901
1,125.0,26750000,0.0,0.008333697932617885,0.008,NaN
512,85.0,26750000,0.61,0.005318586241062049,0.011764705882352941,11.17901
8,185.0,26750000,0.15,0.004811885588373792,0.005405405405405406,11.17882
128,25.0,26750000,0.78,0.008824469653922494,0.04,11.17897
1,185.0,26750000,0.0,0.0056308725425534886,0.005405405405405406,NaN
1,95.0,26750000,0.0,0.010965425683856032,0.010526315789473684,NaN
128,30.0,26750000,0.75,0.00849947469741432,0.03333333333333333,11.179
512,90.0,26750000,0.53,0.005362830617837236,0.011111111111111112,11.17899
512,175.0,26750000,0.35,0.0037110101328760576,0.005714285714285714,11.179
512,140.0,26750000,0.4,0.00431144258604333,0.007142857142857143,11.17899
128,190.0,26750000,0.31,0.0036427883241201453,0.005263157894736842,11.17897
1,115.0,26750000,0.0,0.009058384549439576,0.008695652173913044,NaN
128,150.0,26750000,0.35,0.004732088959639727,0.006666666666666667,11.17902
512,150.0,26750000,0.44,0.003777027279887858,0.006666666666666667,11.17904
512,5.0,26750000,0.96,0.00737983155073246,0.2,11.17901
512,65.0,26750000,0.63,0.005929999411791977,0.015384615384615385,11.17902
2096,195.0,26750000,0.39,0.0030748703880634025,0.005128205128205128,11.17901
2096,55.0,26750000,0.75,0.0054880995705905095,0.01818181818181818,11.17899
128,175.0,26750000,0.34,0.0037777453934687817,0.005714285714285714,11.17897
32,5.0,26750000,0.99,0.008295306488829568,0.2,11.17892
32,65.0,26750000,0.55,0.00754052920195609,0.015384615384615385,11.17895
8,190.0,26750000,0.12,0.00508954960743286,0.005263157894736842,11.17875
1,15.0,26750000,0.0,0.0694495084711038,0.06666666666666667,NaN
8,170.0,26750000,0.14,0.004416388333829173,0.0058823529411764705,11.17906
8,110.0,26750000,0.2,0.0064726523641330394,0.00909090909090909,11.17897
32,145.0,26750000,0.32,0.004568827306634767,0.006896551724137931,11.17911
32,35.0,26750000,0.67,0.00951529741061163,0.02857142857142857,11.17889
512,135.0,26750000,0.46,0.004215004158733853,0.007407407407407408,11.17902
512,55.0,26750000,0.67,0.00605075982416492,0.01818181818181818,11.17901
128,20.0,26750000,0.83,0.008966813822044613,0.05,11.17898
8,180.0,26750000,0.2,0.004491275085699426,0.005555555555555556,11.17883
2096,60.0,26750000,0.69,0.004921701447104511,0.016666666666666666,11.17899
8,65.0,26750000,0.38,0.009179393161558164,0.015384615384615385,11.17889
128,170.0,26750000,0.33,0.0037726496164244244,0.0058823529411764705,11.17907
32,140.0,26750000,0.3,0.004275904627486609,0.007142857142857143,11.17905
512,75.0,26750000,0.58,0.00561004687586868,0.013333333333333334,11.17899
