nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov
1,190.0,5350000,0.0,0.005482698413098737,0.005263157894736842,NaN,0,0.005263157894736842,0.0,0.0
8,25.0,5350000,0.23,0.032862036953360554,0.04,2.26288,10.02335,0.034802177071428575,0.0051978229285714285,0.1299455732142857
2096,115.0,5350000,0.17,0.006901820907410002,0.008695652173913044,2.26299,27.96835,0.008687353603435269,8.29857047777448e-06,0.0009543356049440653
512,190.0,5350000,0.14,0.004254071891262519,0.005263157894736842,2.263,23.09333,0.0052546436243928185,8.51427034402359e-06,0.0016177113653644824
128,100.0,5350000,0.16,0.00881916029599924,0.01,2.26298,19.50266,0.009917337143792575,8.266285620742591e-05,0.008266285620742591
8,195.0,5350000,0.04,0.00517295838075643,0.005128205128205128,2.26275,9.25025,0.0050493603655959425,7.884476260918567e-05,0.015374728708791207
1,60.0,5350000,0.0,0.017361943037548327,0.016666666666666666,NaN,0,0.016666666666666666,0.0,0.0
1,50.0,5350000,0.0,0.020834401096389524,0.02,NaN,0,0.02,0.0,0.0
32,140.0,5350000,0.14,0.00600863717559443,0.007142857142857143,2.26305,17.59279,0.007029894006693521,0.00011296313616362189,0.015814839062907066
512,80.0,5350000,0.17,0.009854810068738286,0.0125,2.263,23.7008,0.012450710875104659,4.928912489534181e-05,0.0039431299916273446
512,110.0,5350000,0.12,0.007453954870924709,0.00909090909090909,2.26299,23.5425,0.009065012935971506,2.5896154937584627e-05,0.002848577043134309
8,120.0,5350000,0.1,0.00894088190534485,0.008333333333333333,2.26256,9.26564,0.008124787492559524,0.0002085458407738095,0.025025500892857138
1,40.0,5350000,0.0,0.02604302985651072,0.025,NaN,0,0.025,0.0,0.0
8,135.0,5350000,0.07,0.006847390764088695,0.007407407407407408,2.26301,9.13414,0.007244968997648442,0.00016243840975896533,0.02192918531746032
32,160.0,5350000,0.13,0.0061015478162438335,0.00625,2.26322,17.39462,0.006164486816624214,8.551318337578615e-05,0.013682109340125783
8,140.0,5350000,0.05,0.007245285818555728,0.007142857142857143,2.26264,9.23248,0.006990188126822157,0.0001526690160349854,0.021373662244897958
512,115.0,5350000,0.23,0.007302233073989657,0.008695652173913044,2.26301,23.53456,0.008671966896349857,2.3685277563187096e-05,0.002723806919766516
8,45.0,5350000,0.1,0.018476941977413418,0.022222222222222223,2.26297,9.85877,0.020644297394179896,0.001577924828042328,0.07100661726190476
128,120.0,5350000,0.12,0.007636676851193472,0.008333333333333333,2.26307,19.38586,0.008276272364982048,5.706096835128622e-05,0.006847316202154346
8,80.0,5350000,0.1,0.010556680135231073,0.0125,2.26314,9.45525,0.012021169677734376,0.000478830322265625,0.03830642578125
2096,185.0,5350000,0.2,0.004843537277897177,0.005405405405405406,2.26298,28.23871,0.005402167728419659,3.237676985746583e-06,0.0005989702423631178
128,45.0,5350000,0.33,0.016193815355202434,0.022222222222222223,2.2631,20.10045,0.02180149819941509,0.00042072402280713366,0.018932581026321015
512,15.0,5350000,0.57,0.027293313644630928,0.06666666666666667,2.26298,25.03941,0.0651854804932056,0.0014811861734610535,0.022217792601915802
2096,120.0,5350000,0.18,0.006663825211596442,0.008333333333333333,2.26298,28.04533,0.008325690925954119,7.642407379213378e-06,0.0009170888855056054
1,105.0,5350000,0.0,0.009921068967402245,0.009523809523809525,NaN,0,0.009523809523809525,0.0,0.0
32,135.0,5350000,0.15,0.0063500546358700866,0.007407407407407408,2.26303,19.00788,0.007276149874133344,0.00013125753327406368,0.017719766991998596
128,85.0,5350000,0.17,0.010048015446613186,0.011764705882352941,2.26299,19.5796,0.01164984225649972,0.0001148636258532212,0.009763408197523802
