nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov,throughput_simple,waste_rate_simple,SBR_simple
1,65.0,5350000,0.0,0.016026419231574867,0.015384615384615385,NaN,0,0.015384615384615385,0.0,0.0,0.015384615384615385,0.0,0.0
512,50.0,5350000,0.27,0.012928059357374611,0.02,2.26303,24.57305,0.019869176087975754,0.00013082391202424667,0.006541195601212333,-0.47146099999999996,0.491461,24.57305
2096,25.0,5350000,0.56,0.021029424671420605,0.04,2.263,29.8752,0.03981243019556292,0.0001875698044370794,0.004689245110926985,-1.155008,1.195008,29.8752
8,65.0,5350000,0.1,0.015627180480026353,0.015384615384615385,2.26257,9.26371,0.014673979980980559,0.0007106354036348267,0.04619130123626373,-0.127134,0.14251861538461538,9.26371
1,20.0,5350000,0.0,0.05208672439611954,0.05,NaN,0,0.05,0.0,0.0,0.05,0.0,0.0
128,5.0,5350000,0.79,0.045506319235020576,0.2,2.26297,25.22995,0.15722471234240776,0.04277528765759226,0.2138764382879613,-4.84599,5.04599,25.22995
512,185.0,5350000,0.09,0.004950589404798061,0.005405405405405406,2.26299,23.44914,0.005396286314632635,9.119090772770313e-06,0.0016870317929625078,-0.1213467027027027,0.1267521081081081,23.44914
128,60.0,5350000,0.25,0.011229862814180935,0.016666666666666666,2.263,19.70987,0.016434607987138812,0.00023205867952785499,0.0139235207716713,-0.31183116666666666,0.3284978333333333,19.70987
1,90.0,5350000,0.0,0.011574601897355041,0.011111111111111112,NaN,0,0.011111111111111112,0.0,0.0,0.011111111111111112,0.0,0.0
512,15.0,5350000,0.56,0.02943089566242109,0.06666666666666667,2.26297,25.38423,0.06516508294325005,0.001501583723416617,0.022523755851249258,-1.6256153333333332,1.6922819999999998,25.38423
512,155.0,5350000,0.09,0.005933374728511023,0.0064516129032258064,2.26299,23.53721,0.006438573441562428,1.3039461663378623e-05,0.0020211165578236864,-0.1454013548387097,0.1518529677419355,23.53721
128,85.0,5350000,0.18,0.010200301276098491,0.011764705882352941,2.26302,19.45943,0.011650547233206025,0.00011415864914691558,0.009703485177487824,-0.21716976470588234,0.2289344705882353,19.45943
2096,90.0,5350000,0.19,0.008000305931698828,0.011111111111111112,2.263,27.96379,0.011097564110987668,1.3547000123444487e-05,0.0012192300111100037,-0.29959766666666665,0.3107087777777778,27.96379
1,80.0,5350000,0.0,0.013021435235613103,0.0125,NaN,0,0.0125,0.0,0.0,0.0125,0.0,0.0
8,115.0,5350000,0.05,0.009188441895693176,0.008695652173913044,2.26292,9.15263,0.008471347239400486,0.00022430493451255738,0.0257950674689441,-0.07089243478260869,0.07958808695652174,9.15263
128,30.0,5350000,0.38,0.021317252734790352,0.03333333333333333,2.26295,19.61674,0.03240948456496677,0.0009238487683665603,0.02771546305099681,-0.620558,0.6538913333333334,19.61674
2096,120.0,5350000,0.21,0.006744484984044909,0.008333333333333333,2.263,28.12149,0.008325670172204886,7.663161128447239e-06,0.0009195793354136686,-0.2260124166666667,0.23434575000000002,28.12149
8,100.0,5350000,0.08,0.010132415471590479,0.01,2.26279,9.33383,0.009697483902678572,0.00030251609732142855,0.030251609732142856,-0.08333830000000002,0.09333830000000001,9.33383
512,25.0,5350000,0.42,0.022589487123766447,0.04,2.263,24.26295,0.03948330808975708,0.00051669191024292,0.012917297756072999,-0.930518,0.970518,24.26295
8,160.0,5350000,0.1,0.006475145671352168,0.00625,2.26274,9.20537,0.006133456008998326,0.00011654399100167411,0.018647038560267858,-0.051283562500000004,0.0575335625,9.20537
128,165.0,5350000,0.1,0.005484144378875406,0.006060606060606061,2.26301,19.39323,0.006030413578517838,3.0192482088222605e-05,0.00498175954455673,-0.1114741212121212,0.11753472727272726,19.39323
32,60.0,5350000,0.2,0.013240187729973785,0.016666666666666666,2.26304,17.6872,0.01604834469426454,0.0006183219724021252,0.03709931834412751,-0.27812000000000003,0.2947866666666667,17.6872
8,185.0,5350000,0.04,0.005785200704521741,0.005405405405405406,2.26295,9.20231,0.005318260499582594,8.714490582281124e-05,0.01612180757722008,-0.04433681081081082,0.049742216216216224,9.20231
1,55.0,5350000,0.0,0.0189403086702104,0.01818181818181818,NaN,0,0.01818181818181818,0.0,0.0,0.01818181818181818,0.0,0.0
32,125.0,5350000,0.08,0.007510367311036155,0.008,2.26297,17.03456,0.00786279530016725,0.00013720469983275025,0.01715058747909378,-0.12827648,0.13627648,17.03456
8,80.0,5350000,0.06,0.010892281544129044,0.0125,2.26317,9.3037,0.012028844433593752,0.00047115556640625,0.037692445312499996,-0.10379624999999999,0.11629624999999999,9.3037
512,80.0,5350000,0.26,0.010984781195918678,0.0125,2.26303,23.9563,0.012450179527158144,4.982047284185668e-05,0.0039856378273485345,-0.28695375,0.29945375,23.9563
8,20.0,5350000,0.3,0.032069999830029,0.05,2.26294,9.59685,0.04222398091517857,0.007776019084821429,0.15552038169642857,-0.4298425,0.4798425,9.59685
8,90.0,5350000,0.08,0.009114602915488034,0.011111111111111112,2.26299,9.45107,0.010732943296957672,0.0003781678141534391,0.03403510327380952,-0.09390077777777778,0.10501188888888889,9.45107
8,125.0,5350000,0.08,0.007936472033420166,0.008,2.26303,9.33297,0.007806407536571428,0.0001935924634285714,0.024199057928571424,-0.06666375999999999,0.07466376,9.33297
128,110.0,5350000,0.2,0.00793619426787735,0.00909090909090909,2.26299,19.53733,0.009022471234313125,6.843785659596477e-05,0.007528164225556125,-0.16852118181818182,0.17761209090909091,19.53733
1,140.0,5350000,0.0,0.00744080449382923,0.007142857142857143,NaN,0,0.007142857142857143,0.0,0.0,0.007142857142857143,0.0,0.0
2096,170.0,5350000,0.14,0.005296353206592307,0.0058823529411764705,2.263,27.78391,0.0058785804551278785,3.7724860485923446e-06,0.0006413226282606986,-0.15755241176470589,0.16343476470588236,27.783910000000002
