nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov,throughput_simple,waste_rate_simple,SBR_simple
512,55.0,5350000,0.25,0.011837363238099953,0.01818181818181818,2.26303,23.40962,-35407.03217118178,35407.05035299996,1947387.7694149981,-0.40744763636363635,0.42562945454545453,23.40962
512,80.0,5350000,0.26,0.010157898436455641,0.0125,2.263,23.91104,-76515.31554972635,76515.32804972635,6121226.243978107,-0.286388,0.298888,23.911039999999996
1,55.0,5350000,0.0,0.0189403086702104,0.01818181818181818,NaN,0,0.01818181818181818,0.0,0.0,0.01818181818181818,0.0,0.0
8,120.0,5350000,0.08,0.008383202208873184,0.008333333333333333,2.26273,9.14374,-65834.91987246885,65834.92820580218,7900191.384696261,-0.0678645,0.07619783333333333,9.14374
32,150.0,5350000,0.12,0.005827800613690716,0.006666666666666667,2.26298,17.62732,-198307.34343192994,198307.3500985966,29746102.51478949,-0.11084880000000001,0.11751546666666668,17.62732
2096,145.0,5350000,0.17,0.006324218258637886,0.006896551724137931,2.26299,28.72517,-301973.34273380943,301973.34963036113,43786135.69640236,-0.19120806896551723,0.19810462068965518,28.725170000000002
8,130.0,5350000,0.1,0.007979289594272274,0.007692307692307693,2.26297,9.14761,-77297.29698312459,77297.30467543229,10048649.607806196,-0.06267392307692309,0.07036623076923078,9.14761
2096,115.0,5350000,0.21,0.0073076792381890545,0.008695652173913044,NaN,28.01617,-185256.91543766056,185256.92413331274,21304546.275330964,-0.2349232173913043,0.24361886956521736,28.016169999999995
1,170.0,5350000,0.0,0.006127721696528382,0.0058823529411764705,NaN,0,0.0058823529411764705,0.0,0.0,0.0058823529411764705,0.0,0.0
512,65.0,5350000,0.3,0.011290335145695565,0.015384615384615385,2.26296,23.8479,-50378.67344051083,50378.68882512621,3274614.7736332035,-0.35150615384615386,0.36689076923076924,23.8479
8,195.0,5350000,0.04,0.004876860967472654,0.005128205128205128,2.26322,9.19997,-174914.42457521107,174914.42970341622,34108313.79216616,-0.042051128205128206,0.04717933333333334,9.19997
2096,25.0,5350000,0.53,0.019349383810077395,0.04,2.26299,29.60553,-9251.688310876694,9251.728310876695,231293.20777191737,-1.1442212,1.1842212,29.60553
1,65.0,5350000,0.0,0.016026419231574867,0.015384615384615385,NaN,0,0.015384615384615385,0.0,0.0,0.015384615384615385,0.0,0.0
512,135.0,5350000,0.16,0.006386525695186224,0.007407407407407408,2.26301,23.33634,-212652.39085963508,212652.3982670425,28708073.766050737,-0.16545437037037036,0.17286177777777778,23.33634
128,125.0,5350000,0.15,0.006632355721889142,0.008,2.2631,19.36247,-151269.28892752394,151269.29692752394,18908662.115940493,-0.14689976,0.15489976,19.36247
2096,15.0,5350000,0.67,0.023827626090083504,0.06666666666666667,2.26299,30.52353,-3433.8309906675245,3433.897657334191,51508.464860012864,-1.9682353333333331,2.0349019999999998,30.523529999999997
128,15.0,5350000,0.6,0.0321367845426611,0.06666666666666667,2.26298,22.00782,-2475.8172291592764,2475.883895825943,37138.258437389144,-1.4005213333333333,1.467188,22.00782
512,160.0,5350000,0.12,0.005801303933887637,0.00625,2.26305,23.66174,-302870.265762302,302870.27201230195,48459243.52196831,-0.14163587500000002,0.14788587500000003,23.66174
32,90.0,5350000,0.24,0.009408238719380652,0.011111111111111112,2.26296,18.92567,-76648.95268294102,76648.96379405214,6898406.741464692,-0.19917411111111114,0.21028522222222223,18.92567
1,145.0,5350000,0.0,0.007184240936451438,0.006896551724137931,NaN,0,0.006896551724137931,0.0,0.0,0.006896551724137931,0.0,0.0
8,155.0,5350000,0.05,0.006246480108458884,0.0064516129032258064,2.26287,9.2927,-111628.55242374944,111628.55887536235,17302426.625681162,-0.05350129032258064,0.05995290322580645,9.2927
1,195.0,5350000,0.0,0.005342108922502507,0.005128205128205128,NaN,0,0.005128205128205128,0.0,0.0,0.005128205128205128,0.0,0.0
1,160.0,5350000,0.0,0.006510671413640599,0.00625,NaN,0,0.00625,0.0,0.0,0.00625,0.0,0.0
8,10.0,5350000,0.43,0.055525503092541555,0.1,2.26276,10.65096,-532.4825205221429,532.5825205221429,5325.825205221428,-0.9650960000000001,1.065096,10.65096
2096,45.0,5350000,0.37,0.013505908227083478,0.022222222222222223,2.263,29.12429,-29488.321459214585,29488.343681436807,1326975.4656646564,-0.6249842222222222,0.6472064444444444,29.12429
2096,60.0,5350000,0.29,0.010896686121610067,0.016666666666666666,2.26299,28.10131,-50582.34136396398,50582.35803063065,3034941.481837839,-0.45168850000000005,0.4683551666666667,28.10131
1,30.0,5350000,0.0,0.0347242116301802,0.03333333333333333,NaN,0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0
512,110.0,5350000,0.18,0.006430594978134028,0.00909090909090909,2.26303,23.39671,-141550.0864348267,141550.0955257358,15570510.507830936,-0.20360645454545453,0.21269736363636363,23.39671
1,80.0,5350000,0.0,0.013021435235613103,0.0125,NaN,0,0.0125,0.0,0.0,0.0125,0.0,0.0
128,135.0,5350000,0.12,0.0070878473470470885,0.007407407407407408,2.26294,19.42603,-177019.69101277122,177019.69842017864,23897659.286724117,-0.13648911111111112,0.14389651851851853,19.42603
8,125.0,5350000,0.08,0.007566363820432632,0.008,2.26268,9.25699,-72320.22656701642,72320.23456701642,9040029.320877053,-0.06605591999999999,0.07405592,9.25699
512,125.0,5350000,0.13,0.007702152227801319,0.008,2.26301,23.17758,-181074.83576974313,181074.84376974314,22634355.471217893,-0.17742064,0.18542064,23.17758
128,5.0,5350000,0.79,0.042606639418706314,0.2,2.26301,24.75277,-309.2515912685448,309.4515912685448,1547.257956342724,-4.750554,4.950554,24.75277
32,95.0,5350000,0.1,0.009080417081717399,0.010526315789473684,2.26301,17.45365,-78759.58534207108,78759.59586838687,7482161.607496752,-0.17319631578947367,0.18372263157894736,17.45365
1,95.0,5350000,0.0,0.010965425683856032,0.010526315789473684,NaN,0,0.010526315789473684,0.0,0.0,0.010526315789473684,0.0,0.0
512,95.0,5350000,0.15,0.009509055092802672,0.010526315789473684,2.26303,23.72285,-107049.35013366968,107049.36065998547,10169689.26269862,-0.2391878947368421,0.2497142105263158,23.72285
512,175.0,5350000,0.1,0.004678365856163174,0.005714285714285714,2.26302,23.22095,-355570.79117080616,355570.79688509187,62224889.45489108,-0.1269768571428571,0.13269114285714284,23.22095
128,120.0,5350000,0.15,0.007285604512470296,0.008333333333333333,2.26301,19.42041,-139826.94372382932,139826.95205716265,16779234.246859517,-0.15350341666666667,0.16183675,19.42041
2096,90.0,5350000,0.16,0.008437166020056324,0.011111111111111112,2.26299,27.86098,-112836.95790238609,112836.9690134972,10155327.211214747,-0.2984553333333333,0.3095664444444444,27.860979999999998
1,165.0,5350000,0.0,0.006313413902175293,0.006060606060606061,NaN,0,0.006060606060606061,0.0,0.0,0.006060606060606061,0.0,0.0
512,10.0,5350000,0.68,0.03078990882730977,0.1,2.26301,26.38853,-1319.3300122326364,1319.4300122326363,13194.300122326362,-2.538853,2.638853,26.38853
2096,160.0,5350000,0.15,0.005855201339295334,0.00625,2.26298,27.84842,-356459.7697542687,356459.7760042687,57033564.16068298,-0.16780262499999998,0.174052625,27.848419999999997
2096,190.0,5350000,0.13,0.004647028823548325,0.005263157894736842,2.26297,28.00779,-505540.60423988657,505540.60950304446,96052715.80557846,-0.14214626315789472,0.14740942105263155,28.007789999999996
32,20.0,5350000,0.42,0.02886875197209662,0.05,2.26318,19.0764,-3815.236001979706,3815.2860019797063,76305.72003959412,-0.90382,0.95382,19.0764
8,190.0,5350000,0.07,0.004624086719752415,0.005263157894736842,2.2629,9.1973,-166011.25981941583,166011.26508257372,31542140.36568901,-0.04314368421052631,0.04840684210526316,9.1973
128,155.0,5350000,0.09,0.006745503615927213,0.0064516129032258064,2.26302,19.41267,-233194.69195763534,233194.69840924823,36145178.25343347,-0.11879141935483871,0.12524303225806452,19.412670000000002
512,155.0,5350000,0.18,0.00586436245700836,0.0064516129032258064,2.26301,23.39203,-280996.75393634604,280996.76038795896,43554497.86013364,-0.14446470967741937,0.15091632258064516,23.392030000000002
128,20.0,5350000,0.5,0.026842580466735533,0.05,2.26301,21.53846,-4307.6442822920335,4307.694282292034,86153.88564584067,-1.026923,1.076923,21.53846
1,140.0,5350000,0.0,0.00744080449382923,0.007142857142857143,NaN,0,0.007142857142857143,0.0,0.0,0.007142857142857143,0.0,0.0
8,5.0,5350000,0.63,0.07649082188993839,0.2,2.26276,14.20757,-177.57881599678572,177.7788159967857,888.8940799839285,-2.641514,2.841514,14.20757
128,130.0,5350000,0.11,0.006534233010095717,0.007692307692307693,2.26304,18.94527,-160087.5238552073,160087.531547515,20811379.10117695,-0.13804053846153846,0.14573284615384616,18.94527
8,50.0,5350000,0.12,0.014887184173970443,0.02,2.26302,9.68989,-12112.343756225024,12112.363756225024,605618.1878112511,-0.17379780000000003,0.19379780000000002,9.68989
1,180.0,5350000,0.0,0.005787282862593816,0.005555555555555556,NaN,0,0.005555555555555556,0.0,0.0,0.005555555555555556,0.0,0.0
1,35.0,5350000,0.0,0.029763472659125198,0.02857142857142857,NaN,0,0.02857142857142857,0.0,0.0,0.02857142857142857,0.0,0.0
